,index,ascii_name,latitude,longitude,population,funding_total,Total Funding Amount
0,0,Henderson,32.153220000000005,-94.79938,True,0.0,6080421
1,11,Beaverton,33.93122,-88.02031,False,0.0,20500000
2,13,Akron,32.87652,-87.74251,False,0.0,150000
3,17,Benton,32.30681,-86.81775999999999,False,0.0,25000
4,24,Aurora,39.056999999999995,-84.90134,False,0.0,10615000
5,34,Troy,37.995329999999996,-86.79777,False,0.0,8865600
6,46,Stockton,39.43807,-99.2651,False,0.0,100000
7,53,Birmingham,33.52066,-86.80249,True,0.0,83558000
8,55,Bridgeport,34.94758,-85.71441999999999,False,0.0,2100000
9,65,Clayton,31.878220000000002,-85.44966,False,0.0,84909
10,80,Cleveland,33.99093,-86.57749,False,0.0,38904999
11,94,Columbia,31.292709999999996,-85.11267,False,0.0,62789000
12,103,Concord,33.46761,-87.03111,False,0.0,112500
13,115,Cordova,33.75983,-87.18333,False,0.0,175000
14,122,Danville,34.41454,-87.08751,False,0.0,88260000
15,133,Dayton,32.35024,-87.64193,False,0.0,4295000
16,150,Decatur,34.60593,-86.98334,True,0.0,665529
17,158,Detroit,34.02816,-88.17004,False,0.0,36492715
18,161,Edgewater,33.52677,-86.95777,False,0.0,150000
19,165,Fairfield,33.48594,-86.91194,True,0.0,5000
20,182,Fayetteville,33.14567,-86.40581,False,0.0,3623333
21,191,Franklin,32.47847,-85.80246,False,0.0,7155632
22,211,Fulton,31.788490000000003,-87.72721999999999,False,0.0,43700000
23,219,Gainesville,32.82096,-88.15890999999999,False,0.0,7897000
24,224,Glen Allen,33.9151,-87.74169,False,0.0,468000
25,226,Greensboro,32.70415,-87.5955,False,0.0,9195188
26,231,Greenville,31.8296,-86.61775,False,0.0,23386799
27,243,Huntsville,34.7304,-86.58594000000001,True,0.0,3020000
28,249,Jackson,31.50905,-87.89444,False,0.0,1500000
29,262,Jacksonville,33.81382,-85.7613,True,0.0,42816567
30,271,Lafayette,32.89985,-85.40106,False,0.0,20000000
31,282,Leesburg,34.17982,-85.76136,False,0.0,251500
32,288,Lexington,34.96925,-87.37113000000001,False,0.0,283834004
33,300,Libertyville,31.241559999999996,-86.46134,False,0.0,405000
34,303,Linden,32.30625,-87.79807,False,0.0,140000
35,312,Lincoln,33.61316,-86.11831,False,0.0,16525280
36,327,Louisville,31.7835,-85.55578,False,0.0,12835000
37,332,Lynn,34.04705,-87.54974,False,0.0,5000
38,337,Madison,34.699259999999995,-86.74833000000001,True,0.0,83035063
39,354,Malvern,31.13934,-85.5191,False,0.0,47900000
40,358,Memphis,31.13268,-85.37549,False,0.0,5593500
41,365,Mobile,30.694359999999996,-88.04305,True,0.0,5000
42,366,Mooresville,34.62642,-86.88056999999999,False,0.0,200000
43,368,Newton,31.33517,-85.60521,False,0.0,75548691
44,376,Opelika,32.64541,-85.37828,True,0.0,100000
45,377,Oxford,33.61427,-85.83496,True,0.0,5500000
46,392,Pelham,33.28567,-86.80999,True,0.0,1155000
47,398,Powell,34.53183,-85.89455,False,0.0,8000000
48,400,Providence,32.341809999999995,-87.78057,False,0.0,5387000
49,404,Riverside,33.60621,-86.20442,False,0.0,112000
50,422,River Falls,31.353270000000002,-86.54101999999999,False,0.0,2000000
51,424,Roanoke,33.15123,-85.37217,False,0.0,25000
52,428,Rockville,31.420170000000002,-87.8425,False,0.0,790000
53,433,Sanford,31.29823,-86.38911999999999,False,0.0,7000000
54,439,Somerville,34.47338,-86.7987,False,0.0,156039497
55,444,Tuscaloosa,33.20984,-87.56917,True,0.0,20000
56,445,Union,32.98818,-87.91502,False,0.0,100000
57,457,Waterloo,34.91814,-88.0642,False,0.0,20000
58,464,Weston,34.15982,-88.03198,False,0.0,220000
59,475,White Plains,33.74732,-85.68913,False,0.0,250000
60,478,Woodstock,33.20678,-87.15,False,0.0,2063000
61,485,Arkansas City,33.60872,-91.20678000000001,False,0.0,150000
62,486,Austin,34.99842,-91.98376,False,0.0,1116244510
63,489,Bentonville,36.37285,-94.20881999999999,True,0.0,270000
64,491,Carlisle,34.78315,-91.74651999999999,False,0.0,1025000
65,497,Carthage,34.0751,-92.55544,False,0.0,40000
66,504,Charleston,35.29704,-94.03631999999999,False,0.0,9511000
67,510,Clinton,35.59147,-92.46044,False,0.0,214448
68,527,College Station,34.70815,-92.22126,False,0.0,1210000
69,529,Dover,35.40147,-93.11434,False,0.0,10175000
70,543,Fargo,34.95148,-91.18012,False,0.0,1550000
71,546,Farmington,36.04202,-94.24715,False,0.0,3500000
72,560,Garland,33.3629,-93.7099,False,0.0,100000
73,568,Gilbert,35.98785,-92.71628,False,0.0,300000
74,574,Hampton,33.537890000000004,-92.46988,False,0.0,478000
75,586,Holland,35.17147,-92.27376,False,0.0,1060000
76,593,Houston,35.03342,-92.69461,False,0.0,164553769
77,598,Huntington,35.08232,-94.26326999999999,False,0.0,1500000
78,606,Knoxville,35.38203,-93.36435,False,0.0,1562132
79,611,Little Rock,34.74648,-92.28959,True,0.0,8811000
80,614,London,35.32897,-93.25296,False,0.0,642436
81,617,Lowell,36.25535,-94.13076,False,0.0,12450000
82,625,Maumelle,34.86676,-92.40432,True,0.0,325000
83,626,Melbourne,36.059509999999996,-91.90848000000001,False,0.0,50000
84,629,Menifee,35.14842,-92.55405,False,0.0,300000
85,631,Mount Pleasant,35.96174,-91.7557,False,0.0,1170000
86,639,Mountain View,35.86841,-92.11765,False,0.0,1707922264
87,649,Nashville,33.94567,-93.84713,False,0.0,106474046
88,654,Newark,35.70174,-91.44152,False,0.0,43642501
89,660,Newport,35.6048,-91.2818,False,0.0,3200830
90,676,North Little Rock,34.76954,-92.26709,True,0.0,200000
91,677,Omaha,36.452290000000005,-93.18851,False,0.0,9320000
92,680,Palestine,34.97232,-90.90262,False,0.0,20000
93,681,Portland,33.2379,-91.51151,False,0.0,158760289
94,692,Rye,33.74622,-91.99792,False,0.0,41000
95,697,Saint Charles,34.37177,-91.13651,False,0.0,450000
96,704,Saint Paul,35.82425,-93.76408,False,0.0,3710000
97,711,Salem,36.371179999999995,-91.82265,False,0.0,34050000
98,732,Summit,36.25229,-92.69072,False,0.0,9500000
